Hora EC,Lat EC,Lon EC,Lat EBP,Lon EBP
18:22:49,-12.20426667,-76.86699167,-12.2042665,-76.8669763333333
18:23:32,-12.20417333,-76.866985,-12.2041198333333,-76.8669401666666
18:24:14,-12.20416167,-76.86697833,-12.2041428333333,-76.8668876666666
18:24:56,-12.20418333,-76.86695833,-12.204168,-76.8669993333333
18:25:39,-12.20415,-76.866965,-12.2040784999999,-76.8668881666666
18:26:20,-12.20419333,-76.86696667,-12.2041921666666,-76.8669361666666
18:27:02,-12.20418833,-76.86696667,-12.2041066666666,-76.8669481666666
18:27:44,-12.20418833,-76.86696667,-12204119.0,-76.8670018333333
18:28:26,-12.20422333,-76.86696333,-12204206.0,-76.8670013333333
18:29:08,-12.20422333,-76.86696333,-12.2043216666666,-76.8668675
18:29:51,-12.20418167,-76.86697167,-12.2042346666666,-76.8669638333333
18:30:32,-12.20430667,-76.86694167,-12.2042773333333,-76.8668748333333
18:31:14,-12.20429667,-76.866775,-12.2042043333333,-76.8668411666666
18:31:57,-12.20415167,-76.86689333,-12.2040903333333,-76.8668983333333
18:32:39,-12.204205,-76.86697667,-12.2042381666666,-76.8669801666666
18:33:25,-12.204235,-76.86698667,-12.2042456666666,-76.8669641666666
